title,body,labels,milestone
[E1-7] Backend: CRUD de usuarios con baja logica,"**Trazabilidad:** RF1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,backend",Sprint 1
[E1-8] Frontend: pantalla de login y manejo de sesion,"**Trazabilidad:** RF1 / CU1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,frontend",Sprint 1
[E1-9] Frontend: rutas protegidas y menu segun perfil,"**Trazabilidad:** RF1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,frontend",Sprint 1
[E1-10] Frontend: ABM de usuarios conectado al backend,"**Trazabilidad:** RF1

**Epico:** E1

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E1,integracion",Sprint 1
[E2-1] Wireframe: ABM de sedes,"**Trazabilidad:** RF2

**Epico:** E2

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,wireframe",Sprint 2
"[E2-2] Wireframe: ABM de carreras (sede, modalidad, jornada, duracion)","**Trazabilidad:** RF2

**Epico:** E2

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,wireframe",Sprint 2
"[E2-3] Wireframe: listado de planes de estudio de una carrera, con version y vigencia","**Trazabilidad:** RF2

**Epico:** E2

Una carrera tiene UNO O MAS planes. El alumno pertenece a un plan, no a la carrera.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,wireframe",Sprint 2
"[E2-4] Wireframe: editor de plan de estudios (asignaturas por semestre, obligatoria/electiva)","**Trazabilidad:** RF2

**Epico:** E2

Pantalla dificil.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,wireframe",Sprint 2
"[E2-5] Wireframe: ABM de asignaturas (codigo, creditos, horas pedagogicas, semestre sugerido)","**Trazabilidad:** RF2

**Epico:** E2

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,wireframe",Sprint 2
[E2-6] Wireframe: editor de prerrequisitos de una asignatura dentro de un plan,"**Trazabilidad:** RF3

**Epico:** E2

El prerrequisito pertenece al PLAN, no a la asignatura suelta: la misma asignatura puede tener prerrequisitos distintos en dos planes.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,wireframe",Sprint 2
"[E2-7] Backend: CRUD de sedes, carreras y asignaturas","**Trazabilidad:** RF2 / CU2

**Epico:** E2

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,backend",Sprint 2
[E2-8] Backend: CRUD de planes de estudio con versionado y estado,"**Trazabilidad:** RF2 / CU2

**Epico:** E2

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,backend",Sprint 2
[E2-9] Backend: gestion de prerrequisitos + validacion de ciclos,"**Trazabilidad:** RF3 / CU2

**Epico:** E2

Impedir que A dependa de B y B de A. Un ciclo deja asignaturas imposibles de inscribir y no se detecta hasta que un alumno reclama.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,backend",Sprint 2
[E2-10] Frontend: pantallas de estructura academica conectadas,"**Trazabilidad:** RF2, RF3

**Epico:** E2

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E2,integracion",Sprint 2
[E3-1] Wireframe: ABM de periodos con fechas y estado,"**Trazabilidad:** RF4

**Epico:** E3

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E3,wireframe",Sprint 1
[E3-2] Backend: CRUD de periodos,"**Trazabilidad:** RF4 / CU3

**Epico:** E3

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E3,backend",Sprint 1
[E3-3] Backend: maquina de estados del periodo y regla de periodo unico en curso,"**Trazabilidad:** RF4 / CU3

**Epico:** E3

Estados: planificacion, inscripcion abierta, en curso, cerrado. La ventana de inscripcion es distinta de las fechas del semestre y es lo que valida RF10.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E3,backend",Sprint 1
[E3-4] Frontend: pantalla de periodos conectada,"**Trazabilidad:** RF4

**Epico:** E3

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E3,integracion",Sprint 1
[E4-1] Wireframe: listado de docentes con filtros,"**Trazabilidad:** RF5

**Epico:** E4

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E4,wireframe",Sprint 2
"[E4-2] Wireframe: ficha de docente (datos, secciones asignadas, carga)","**Trazabilidad:** RF5

**Epico:** E4

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E4,wireframe",Sprint 2
[E4-3] Wireframe: listado de estudiantes con filtros,"**Trazabilidad:** RF5

**Epico:** E4

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E4,wireframe",Sprint 2
"[E4-4] Wireframe: ficha de estudiante con pestanas (datos, matriculas, inscripciones, historial)","**Trazabilidad:** RF5

**Epico:** E4

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E4,wireframe",Sprint 2
[E4-5] Backend: CRUD de docentes,"**Trazabilidad:** RF5 / CU4

**Epico:** E4

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E4,backend",Sprint 2
[E4-6] Backend: CRUD de estudiantes,"**Trazabilidad:** RF5 / CU4

**Epico:** E4

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E4,backend",Sprint 2
[E4-7] Frontend: pantallas de personas conectadas,"**Trazabilidad:** RF5

**Epico:** E4

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E4,integracion",Sprint 2
[E5-1] Wireframe: registrar matricula (estudiante + carrera + plan + periodo),"**Trazabilidad:** RF6

**Epico:** E5

Matricula NO es inscripcion. La registra el coordinador y es precondicion dura de RF10.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E5,wireframe",Sprint 3
[E5-2] Wireframe: listado de matriculas por periodo con estado,"**Trazabilidad:** RF6

**Epico:** E5

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E5,wireframe",Sprint 3
[E5-3] Backend: crear matricula y validar que no exista otra vigente en el periodo,"**Trazabilidad:** RF6 / CU5

**Epico:** E5

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E5,backend",Sprint 3
"[E5-4] Backend: estados de matricula (vigente, suspendida, egresada, retirada)","**Trazabilidad:** RF6 / CU5

**Epico:** E5

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E5,backend",Sprint 3
[E5-5] Frontend: pantallas de matricula conectadas,"**Trazabilidad:** RF6

**Epico:** E5

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E5,integracion",Sprint 3
[E6-1] Wireframe: ABM de salas y ambientes virtuales,"**Trazabilidad:** RF7

**Epico:** E6

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,wireframe",Sprint 3
"[E6-2] Wireframe: crear seccion (asignatura, periodo, docente, sede, jornada, modalidad, cupo, sala)","**Trazabilidad:** RF7

**Epico:** E6

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,wireframe",Sprint 3
[E6-3] Wireframe: editor de bloques horarios de una seccion,"**Trazabilidad:** RF8

**Epico:** E6

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,wireframe",Sprint 3
[E6-4] Wireframe: horario maestro semanal con conflictos marcados,"**Trazabilidad:** RF8

**Epico:** E6

Pantalla dificil.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,wireframe",Sprint 3
[E6-5] Wireframe: listado de secciones del periodo con ocupacion (inscritos/cupo),"**Trazabilidad:** RF7

**Epico:** E6

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,wireframe",Sprint 3
[E6-6] Backend: CRUD de secciones,"**Trazabilidad:** RF7 / CU6

**Epico:** E6

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,backend",Sprint 3
[E6-7] Backend: validar choque de horario del DOCENTE entre secciones,"**Trazabilidad:** RF8 / CU6

**Epico:** E6

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,backend",Sprint 3
[E6-8] Backend: validar doble asignacion de SALA FISICA en el mismo bloque,"**Trazabilidad:** RF8 / CU6

**Epico:** E6

Solo aplica a modalidad presencial. Una seccion online no ocupa sala fisica y no puede chocar por sala, pero su docente si. Son dos validaciones independientes.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,backend",Sprint 3
[E6-9] Frontend: pantallas de oferta conectadas,"**Trazabilidad:** RF7, RF8

**Epico:** E6

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E6,integracion",Sprint 3
"[E7-1] Wireframe: catalogo de oferta con filtros (asignatura, jornada, modalidad, dia, cupos)","**Trazabilidad:** RF9

**Epico:** E7

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E7,wireframe",Sprint 4
"[E7-2] Wireframe: detalle de seccion (horario, docente, sala, cupos restantes)","**Trazabilidad:** RF9

**Epico:** E7

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E7,wireframe",Sprint 4
[E7-3] Backend: endpoint de oferta filtrada por periodo y plan del alumno,"**Trazabilidad:** RF9 / CU7

**Epico:** E7

Por defecto mostrar solo lo del plan del alumno, con opcion de ver todo.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E7,backend",Sprint 4
[E7-4] Frontend: catalogo con filtros conectado,"**Trazabilidad:** RF9

**Epico:** E7

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E7,integracion",Sprint 4
[E8-1] Wireframe: pantalla de inscripcion (oferta + horario en vivo + contador de creditos),"**Trazabilidad:** RF10

**Epico:** E8

Pantalla dificil.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,wireframe",Sprint 4
[E8-2] Wireframe: los 7 estados de error de inscripcion,"**Trazabilidad:** RF10

**Epico:** E8

El NFR pide que el mensaje indique QUE REGLA ACADEMICA impide la accion. 'Error al inscribir' no cumple.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,wireframe",Sprint 4
[E8-3] Wireframe: comprobante / resumen de inscripcion,"**Trazabilidad:** RF10

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,wireframe",Sprint 4
[E8-4] Backend: validar MATRICULA VIGENTE del alumno en el periodo,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-5] Backend: validar PERIODO DE INSCRIPCION ABIERTO,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-6] Backend: validar CUPO DISPONIBLE en la seccion,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

Condicion de carrera real: dos alumnos pidiendo el ultimo cupo a la vez pueden pasar los dos si se valida con find y despues insert. Resolver con operacion atomica.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-7] Backend: validar que la asignatura PERTENECE AL PLAN del alumno,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-8] Backend: validar PRERREQUISITOS APROBADOS segun el plan,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-9] Backend: validar que NO LA APROBO ANTES,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-10] Backend: validar AUSENCIA DE CHOQUE HORARIO con lo ya inscrito,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-11] Backend: anular inscripcion y liberar el cupo,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,backend",Sprint 4
[E8-12] Frontend: flujo de inscripcion end-to-end con mensajes por regla,"**Trazabilidad:** RF10 / CU8

**Epico:** E8

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E8,integracion",Sprint 4
[E9-1] Wireframe: mis secciones del periodo,"**Trazabilidad:** RF11

**Epico:** E9

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E9,wireframe",Sprint 5
[E9-2] Wireframe: nomina de estudiantes inscritos en una seccion,"**Trazabilidad:** RF11

**Epico:** E9

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E9,wireframe",Sprint 5
[E9-3] Wireframe: mi horario semanal,"**Trazabilidad:** RF11

**Epico:** E9

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E9,wireframe",Sprint 5
[E9-4] Backend: endpoint de secciones del docente autenticado,"**Trazabilidad:** RF11 / CU9

**Epico:** E9

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E9,backend",Sprint 5
[E9-5] Backend: endpoint de nomina de una seccion,"**Trazabilidad:** RF11 / CU9

**Epico:** E9

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E9,backend",Sprint 5
[E9-6] Frontend: portal docente conectado,"**Trazabilidad:** RF11

**Epico:** E9

Alcance de solo lectura. No hay ingreso de notas ni asistencia en ningun RF.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E9,integracion",Sprint 5
[E10-1] Wireframe: panel de consultas con filtros por periodo y carrera,"**Trazabilidad:** RF12

**Epico:** E10

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E10,wireframe",Sprint 5
[E10-2] Backend: matricula total y estudiantes por carrera,"**Trazabilidad:** RF12 / CU10

**Epico:** E10

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E10,backend",Sprint 5
[E10-3] Backend: ocupacion de secciones y cupos disponibles,"**Trazabilidad:** RF12 / CU10

**Epico:** E10

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E10,backend",Sprint 5
[E10-4] Backend: carga academica por docente,"**Trazabilidad:** RF12 / CU10

**Epico:** E10

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E10,backend",Sprint 5
[E10-5] Frontend: panel de reportes conectado,"**Trazabilidad:** RF12

**Epico:** E10

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E10,integracion",Sprint 5
"[E11-1] Diseno responsive verificado en movil, tablet y escritorio","**Trazabilidad:** NFR

**Epico:** E11

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,frontend",Sprint 5
[E11-2] Separacion de capas: rutas / logica de negocio / acceso a datos,"**Trazabilidad:** NFR

**Epico:** E11

NFR evaluado. Las reglas academicas van en el backend, no solo en React. Tiene que poder probarse pegandole a la API directo.

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,backend",Sprint 5
[E11-3] Validacion de formularios en frontend y backend,"**Trazabilidad:** NFR

**Epico:** E11

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,integracion",Sprint 5
[E11-4] Baja logica con estados en todas las entidades con historial,"**Trazabilidad:** NFR

**Epico:** E11

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,backend",Sprint 5
[E11-5] Catalogo de mensajes de error por regla academica,"**Trazabilidad:** NFR

**Epico:** E11

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,docs",Sprint 5
[E11-6] Documentar la API REST segun los CU,"**Trazabilidad:** Entregable

**Epico:** E11

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,docs",Sprint 5
[E11-7] Diagrama de casos de uso con los 4 actores,"**Trazabilidad:** Entregable

**Epico:** E11

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,docs",Sprint 5
[E11-8] Guion de demo end-to-end para la defensa,"**Trazabilidad:** Entregable

**Epico:** E11

---
_Criterio de aceptacion: completar antes de mover a In Progress._","epic:E11,docs",Sprint 5
